,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,5.311708593368531,0.41460450641120067,0.17777638435363768,0.028984948310805364,0,gini,,50,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 50}",0.9331938924911106,0.9357456599037858,0.9349508471031165,0.9387575820957959,0.933609437751004,0.9352514838689625,0.001977741890454306,36
1,12.045144271850585,2.4170893012577097,0.3774785041809082,0.08216491280968309,0,gini,,100,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100}",0.9339887052917799,0.9365823049571219,0.935285505124451,0.9385065885797951,0.9340696117804551,0.9356865431467206,0.0016978219804070376,26
2,23.012814903259276,1.8522998640676072,0.7022767066955566,0.040694630278779446,0,gini,,200,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 200}",0.9344488600711148,0.9355783308931186,0.9355364986404517,0.9397197239071324,0.9345716198125836,0.9359710066648802,0.0019324122884453252,21
3,6.908904027938843,1.0787089434260428,0.26883726119995116,0.09123130653936526,0,gini,50,50,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': 50, 'n_estimators': 50}",0.9336958795231123,0.9352018406191174,0.9353273373771177,0.9385902530851287,0.9335676037483266,0.9352765828705605,0.0018115079590147144,34
4,10.164777994155884,1.0623044794354852,0.3473545551300049,0.028180353034615382,0,gini,50,100,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': 50, 'n_estimators': 100}",0.9328592344697761,0.9364568081991215,0.9364568081991215,0.9386320853377954,0.9342369477911646,0.9357283767993959,0.001997452681712192,24
5,19.80778169631958,1.0461343823553584,0.7546233177185059,0.21189489135700748,0,gini,50,200,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': 50, 'n_estimators': 200}",0.9334448860071115,0.9359129889144531,0.9352436728717841,0.9388412466011294,0.9341532797858099,0.9355192148360576,0.0018673775782701463,30
6,4.715471172332764,0.24192778416601524,0.16613049507141114,0.0140459267046669,0,gini,100,50,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': 100, 'n_estimators': 50}",0.9331938924911106,0.9357456599037858,0.9356201631457854,0.9382137628111273,0.9338186077643909,0.9353184172232399,0.001756111997193471,33
7,10.304515647888184,0.563686430634787,0.3945476531982422,0.09538422828260844,0,gini,100,100,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': 100, 'n_estimators': 100}",0.9351181761137837,0.9359129889144531,0.935703827651119,0.9387994143484627,0.9331074297188755,0.9357283673493388,0.0018279860172686628,25
8,20.12223873138428,0.3910935155209658,0.6691673278808594,0.033155091457760355,0,gini,100,200,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': 100, 'n_estimators': 200}",0.9349090148504497,0.9370842919891236,0.9349926793557833,0.938088266053127,0.9348644578313253,0.9359877420159618,0.0013438893130834427,20
9,9.044663572311402,2.624354193476735,0.2249131202697754,0.04021739763988656,0,gini,200,50,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': 200, 'n_estimators': 50}",0.9331520602384439,0.9366241372097888,0.9341560343024472,0.9383810918217946,0.9347807898259706,0.9354188226796891,0.0018637464398303459,32
10,14.489682531356811,2.143762556620986,0.40814838409423826,0.06986679556523351,0,gini,200,100,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': 200, 'n_estimators': 100}",0.9326500732064422,0.9359129889144531,0.9358293244091195,0.939594227149132,0.9343206157965194,0.9356614458951332,0.002298887396171191,29
11,24.89770655632019,1.3098268568109914,0.8334884166717529,0.12142485803639674,0,gini,200,200,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_depth': 200, 'n_estimators': 200}",0.9334448860071115,0.9364986404517883,0.9366241372097888,0.9395105626437984,0.9343624497991968,0.9360881352223368,0.0021039761748916632,17
12,10.039992618560792,2.5165703340161536,0.37280964851379395,0.17493567751357034,0,entropy,,50,"{'ccp_alpha': 0, 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 50}",0.9338213762811127,0.9356201631457854,0.934825350345116,0.9387575820957959,0.934278781793842,0.9354606507323304,0.0017540149441565031,31
13,17.957476091384887,2.2457933412631936,0.5263296127319336,0.1271004552427115,0,entropy,,100,"{'ccp_alpha': 0, 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",0.9348671825977829,0.9375862790211252,0.9363313114411211,0.9393014013804644,0.9345297858099063,0.9365231920500801,0.0017664345390642723,10
14,31.289590501785277,0.9060715383754133,0.9922094345092773,0.14007174616993295,0,entropy,,200,"{'ccp_alpha': 0, 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200}",0.9344906923237817,0.9380046015477933,0.9362476469357875,0.9399707174231332,0.9349062918340026,0.9367239900128996,0.0020346868429594934,6
15,11.54666805267334,7.081403096449,0.2411625862121582,0.04853969250999276,0,entropy,50,50,"{'ccp_alpha': 0, 'criterion': 'entropy', 'max_depth': 50, 'n_estimators': 50}",0.9341978665551139,0.9355364986404517,0.93700062748379,0.9385065885797951,0.9348644578313253,0.9360212078180952,0.00155138436837887,18
16,14.992954540252686,0.6727086979888107,0.40616397857666015,0.03174029982584137,0,entropy,50,100,"{'ccp_alpha': 0, 'criterion': 'entropy', 'max_depth': 50, 'n_estimators': 100}",0.9346580213344489,0.9368332984731228,0.9361639824304538,0.939803388412466,0.9356174698795181,0.9366152321060021,0.0017459509334159207,8
