,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.4167909145355226,0.16250146383450403,0.03156633377075195,0.0008332955939905093,0.1,50,0.2,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.2}",0.9324409119431082,0.9359966534197867,0.935494666387785,0.9380464338004602,0.9327309236947792,0.9349419178491839,0.0021071090648367772,20
1,5.001355457305908,0.23242300292748225,0.0359093189239502,0.00487584358233245,0.1,50,0.6,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.6}",0.9314369378791048,0.9351181761137837,0.935494666387785,0.9381719305584606,0.9319779116465864,0.934439924517144,0.0024730471429992885,21
2,7.245206642150879,0.23875931886452123,0.03541092872619629,0.00307287979142196,0.1,50,1,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 1}",0.931604266889772,0.9341978665551139,0.935703827651119,0.9376281112737921,0.9320615796519411,0.9342391304043478,0.0022501762190175897,22
3,5.004091548919678,0.2649650318869477,0.06446514129638672,0.007468049392050025,0.1,100,0.2,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.2}",0.9352436728717841,0.9376281112737921,0.9384647563271282,0.9413930140138046,0.9355338018741634,0.9376526712721345,0.002233523224583807,9
4,10.119270133972169,0.14410640015835752,0.055401039123535153,0.006182065985963209,0.1,100,0.6,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.6}",0.934407027818448,0.9379627692951266,0.9390085756117967,0.9412256850031374,0.9351154618473896,0.9375439039151796,0.0025144997867524955,10
5,15.857389879226684,1.310234086573037,0.06132707595825195,0.006940256352823317,0.1,100,1,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 1}",0.9342396988077808,0.937209788747124,0.9388830788537963,0.9409746914871365,0.9353246318607764,0.9373263779513229,0.0024199866918681234,12
6,9.289055395126343,0.3761554391101408,0.10047788619995117,0.006378204964346154,0.1,200,0.2,"{'learning_rate': 0.1, 'n_estimators': 200, 'subsample': 0.2}",0.9361639824304538,0.9380046015477933,0.9399707174231332,0.9415603430244719,0.9360776439089692,0.9383554576669642,0.002144502435502253,5
7,22.364732456207275,1.810663173766291,0.1152644157409668,0.017710233587143704,0.1,200,0.6,"{'learning_rate': 0.1, 'n_estimators': 200, 'subsample': 0.6}",0.9366241372097888,0.938715749843129,0.9399288851704665,0.9425224848358084,0.9363704819277109,0.9388323477973806,0.0022702457230565774,2
8,29.259777069091797,0.8120972680439384,0.10452780723571778,0.004329882815062047,0.1,200,1,"{'learning_rate': 0.1, 'n_estimators': 200, 'subsample': 1}",0.9361639824304538,0.9388830788537963,0.9407655302238026,0.9433591298891445,0.9356593038821954,0.9389662050558785,0.0028750762296353522,1
9,2.2005121231079103,0.06960353606038405,0.027150487899780272,0.0017336295619254745,0.5,50,0.2,"{'learning_rate': 0.5, 'n_estimators': 50, 'subsample': 0.2}",0.9334867182597782,0.9347416858397825,0.93700062748379,0.9391340723697971,0.9346552878179384,0.9358036783542172,0.0020168859423154288,17
10,5.847602033615113,1.0825715045038733,0.03490381240844727,0.009556620809797576,0.5,50,0.6,"{'learning_rate': 0.5, 'n_estimators': 50, 'subsample': 0.6}",0.9360384856724535,0.938088266053127,0.9387575820957959,0.941309349508471,0.9355338018741634,0.9379454970408021,0.0020711511044569425,8
11,7.558610486984253,0.6127190176832943,0.03201756477355957,0.0024040122527182644,0.5,50,1,"{'learning_rate': 0.5, 'n_estimators': 50, 'subsample': 1}",0.9368751307257895,0.9382555950637942,0.9388412466011294,0.9424806525831416,0.9367888219544847,0.9386482893856678,0.00207268713295154,3
12,4.4967982292175295,0.22563046850680712,0.0426994800567627,0.006607457751919219,0.5,100,0.2,"{'learning_rate': 0.5, 'n_estimators': 100, 'subsample': 0.2}",0.9328174022171094,0.9346998535871157,0.9358293244091195,0.9398870529177996,0.9340277777777778,0.9354522821817846,0.0024226971060190648,18
13,9.998567342758179,0.3356068042700182,0.04940838813781738,0.006700219195777863,0.5,100,0.6,"{'learning_rate': 0.5, 'n_estimators': 100, 'subsample': 0.6}",0.9352018406191174,0.9385065885797951,0.9388830788537963,0.9407655302238026,0.9364123159303882,0.9379538708413799,0.0019506109196511829,7
14,14.653351974487304,0.6620576421246857,0.04732680320739746,0.004467862030335531,0.5,100,1,"{'learning_rate': 0.5, 'n_estimators': 100, 'subsample': 1}",0.9372516209997909,0.9383392595691278,0.9391340723697971,0.9418531687931395,0.9362449799196787,0.9385646203303069,0.001912815357890689,4
15,8.90195951461792,0.09196737695764311,0.07543139457702637,0.007123523088011071,0.5,200,0.2,"{'learning_rate': 0.5, 'n_estimators': 200, 'subsample': 0.2}",0.9276720351390922,0.9350763438611169,0.9369587952311232,0.9385902530851287,0.9324799196787149,0.9341554693990354,0.0038266522838239347,23
16,20.368754816055297,0.8750254793241825,0.08737735748291016,0.00856543673575314,0.5,200,0.6,"{'learning_rate': 0.5, 'n_estimators': 200, 'subsample': 0.6}",0.9350763438611169,0.9369587952311232,0.9358711566617862,0.941100188245137,0.9359521419009371,0.9369917251800202,0.0021394226293078656,14
17,28.923910760879515,0.7698320654200782,0.08049073219299316,0.006072782653135028,0.5,200,1,"{'learning_rate': 0.5, 'n_estimators': 200, 'subsample': 1}",0.9360803179251203,0.938088266053127,0.9388412466011294,0.9415603430244719,0.9359939759036144,0.9381128299014925,0.002051203949025648,6
